offered load,lambda_1,lambda_2,Mu_1,Mu_2,alpha_1
0.2,0.024,0.18,1.2,1,0.2
0.2,0.12,0.1,1.2,1,0.2
0.2,0.192,0.04,1.2,1,0.2
0.5,0.06,0.45,1.2,1,0.2
0.5,0.3,0.25,1.2,1,0.2
0.5,0.48,0.1,1.2,1,0.2
1,0.12,0.9,1.2,1,0.2
1,0.6,0.5,1.2,1,0.2
1,0.96,0.2,1.2,1,0.2
1.5,0.18,1.35,1.2,1,0.2
1.5,0.9,0.75,1.2,1,0.2
1.5,1.44,0.3,1.2,1,0.2
1.8,0.216,1.62,1.2,1,0.2
1.8,1.08,0.9,1.2,1,0.2
1.8,1.728,0.36,1.2,1,0.2
1.9,0.228,1.71,1.2,1,0.2
1.9,1.14,0.95,1.2,1,0.2
1.9,1.824,0.38,1.2,1,0.2
