offered load,lambda_1,lambda_2,Mu_1,Mu_2,beta_1,beta_2
10,1.2,9,1.2,1,0.12,0.09
10,6,5,1.2,1,0.6,0.05
10,9.6,2,1.2,1,0.96,0.02
25,3,22.5,1.2,1,0.3,0.225
25,15,12.5,1.2,1,1.5,0.125
25,24,5,1.2,1,2.4,0.05
50,6,45,1.2,1,0.6,0.45
50,30,25,1.2,1,3,0.25
50,48,10,1.2,1,4.8,0.1
75,9,67.5,1.2,1,0.9,0.675
75,45,37.5,1.2,1,4.5,0.375
75,72,15,1.2,1,7.2,0.15
90,10.8,81,1.2,1,1.08,0.81
90,54,45,1.2,1,5.4,0.45
90,86.4,18,1.2,1,8.64,0.18
95,11.4,85.5,1.2,1,1.14,0.855
95,57,47.5,1.2,1,5.7,0.475
95,91.2,19,1.2,1,9.12,0.19
